id,objective,layer,category,cwe,owasp,severity,exploitability,confidence,title,location,attack_vector,observation,impact,evidence,recommendation,effort,change_risk,status
S-001,Code; User,Ingestion,SSRF (no IP validation + redirect bypass),CWE-918,OWASP A10:2021 SSRF,Medium,Likely,Inferred,Fetcher validates only the URL scheme; redirects are followed without re-validation,"src/ingest/__init__.py:109-121,165","ingested URL or a malicious external page -> 30x redirect -> fetcher.session.get(redirect, allow_redirects=True) -> internal host (loopback / private / 169.254.169.254)","fetch() checks parsed.scheme in (http,https) and a non-empty netloc, then calls session.get(url, allow_redirects=True). There is no allow/deny on the resolved IP (loopback, RFC1918, link-local 169.254.169.254 are all reachable), and redirect targets are not re-validated. robots.txt is consulted on the ORIGINAL url only, so a redirect bypasses it entirely; a localhost target whose /robots.txt 404s is treated as 'allowed'.","On a cloud/VM host, theft of instance metadata (IMDS) or reaching internal services; on any host, using the fetcher as a proxy to the loopback API or LAN. Bounded by the app being local single-user, but redirect-bypass makes a legitimately-ingested page able to pivot inward.",Read src/ingest/__init__.py: line 110 scheme-only check; line 121 allow_redirects=True with no post-redirect validation; _enforce_robots runs before redirects (lines 115-116). Not fired against a live host (network off).,"Resolve-then-validate: resolve the host and reject loopback/RFC1918/link-local/multicast/unspecified ranges and non-HTTP schemes; disable auto-redirects (allow_redirects=False) and follow manually with a bounded count, re-validating each hop's resolved IP; pin the connection to the validated IP (mitigate DNS rebinding). Keep the fetcher as the single path so the control is centralised.",M,Medium,applied
S-002,Code; Database,Ingestion,Resource exhaustion / decompression bomb,"CWE-400, CWE-776",ASVS V12 / OWASP A05,Medium,Likely,Inferred,Response size cap is enforced AFTER the whole body is downloaded; gzip auto-decompressed unbounded,"src/ingest/__init__.py:121,134",malicious/compromised source -> oversized or highly-compressible (gzip-bomb) response -> requests loads & decompresses the full body into memory before the size check,"session.get(...) is called without stream=True, so requests downloads (and gzip-decompresses) the entire body into memory; only afterwards does line 134 check len(response.content) > max_bytes (10 MiB). A small gzipped payload can expand to gigabytes before the check runs.",Memory exhaustion / denial of service of the single-user instance from one hostile page or feed.,Read src/ingest/__init__.py: no stream=True; size check at line 134 reads response.content (already materialised). Not fired (no live host; building a real bomb is out of scope).,"Fetch with stream=True and read in bounded chunks, aborting once the running total exceeds max_bytes; reject by Content-Length when present; cap the decompressed size explicitly (decompress incrementally with a ceiling). Keep the existing timeout.",M,Low,applied
S-003,User,Presentation,Cross-site request forgery (state-changing local endpoints),CWE-352,OWASP A01:2021,Medium,Likely,Inferred,No CSRF/Origin defence on no-body POST endpoints; a visited page can drive local state changes,src/api/main.py (CORS); src/api/ingestion.py:70; src/api/scheduler.py; src/api/briefing.py; src/api/law.py; src/api/integrity.py,"user visits evil.com -> fetch('http://127.0.0.1:8000/api/sources/1/ingest',{method:'POST'}) (a 'simple request', no preflight) -> server performs the action","There is no auth, no CSRF token, and no Origin/Referer check. JSON-body endpoints are incidentally protected (the application/json content-type forces a CORS preflight that the localhost-only allowlist blocks), but endpoints that take no body or only path/query params are simple requests and execute cross-origin: POST /api/sources/{id}/ingest, scheduler start/stop/scrape-now, POST /api/briefing/refresh, POST /api/law/track and /api/law/seed, POST /api/integrity/collapse/apply_all.","A web page the user merely visits can trigger scrapes (resource use, and SSRF to stored source URLs per S-001), reseed catalogs, refresh briefings, or apply an actor-collapse. CORS still blocks reading the response, so this is unauthorized action / resource consumption, not data theft.","Read the route signatures (no body) + the CORS config (allow_credentials True, origins localhost). Not run as a live cross-origin page (would require a second origin).","Require a non-simple precondition on every state-changing request so the browser must preflight: e.g. a custom header (X-OO-CSRF / X-Requested-With) enforced by a small middleware, OR validate the Origin/Referer host is loopback and reject otherwise. Combine with S-001 (so even a forged scrape cannot reach internal targets).",M,Low,applied
S-004,Database; User,Storage,CSV / spreadsheet formula injection (export),CWE-1236,OWASP 'CSV Injection',Medium,Proven-PoC,Verified,Exported article cells (ingested title/content) are not neutralized against formula injection,src/api/main.py:583-585 (export_articles); also src/catalog/csv_io.py (source export),attacker-controlled article title/content beginning with = + - @ (or tab/CR) -> CSV export -> victim opens in Excel/LibreOffice -> formula/DDE executes,export_articles writes a.title and a.content straight into csv.writer rows with no neutralization. A title of '=OOAUDIT_MARKER()' is written verbatim.,"When the operator opens an export in a spreadsheet, an injected formula can exfiltrate file contents or (via DDE) attempt command execution on the operator's machine.","Safe PoC: csv.writer.writerow([1,'=OOAUDIT_MARKER()']) -> '1,=OOAUDIT_MARKER()' (lead '=' preserved). Code read confirms no escaping in the export path.","Neutralize risky cells on export: if a cell starts with = + - @ or a control char (TAB/CR/LF), prefix with a single quote (') or wrap so spreadsheets treat it as text; apply in both the article and source-catalog CSV exporters.",S,Low,applied
S-005,User,Presentation,Unsafe URL scheme in rendered link (javascript: URI),"CWE-79, CWE-80",OWASP A03:2021 Injection (XSS),Low,Likely,Inferred,Stored article URL rendered as href without a scheme allowlist; esc() does not block javascript:,src/static/index.html:3153; src/api/main.py view_article (~624),"malicious feed entry <link>javascript:... -> stored as Article.url -> rendered <a href=""javascript:...""> -> user clicks 'source' -> script runs in the 127.0.0.1:8000 origin","The 'source' link uses href=""${esc(a.url)}"" (client) and href=""{escaped url}"" (server view_article). esc()/html.escape neutralize quotes/angle brackets but NOT the URL scheme, so a javascript:/data: URL is rendered intact.",Script execution in the app's own origin on click (calls the local no-auth API). Requires a user click; rel=noopener limits window access but not script execution.,"Read index.html:3153 and view_article; esc() definition escapes only &<>"". Not click-fired in a live browser here.",Allowlist the scheme before rendering any ingested URL as href (accept only http/https; otherwise drop the link or render as inert text). Apply in both the client render and the server view_article. Optionally also encode ' in esc().,S,Low,applied
S-006,User,Presentation,Missing security headers (CSP / framing / nosniff),"CWE-16, CWE-1021",OWASP A05:2021 Security Misconfiguration,Medium,Theoretical,Verified,"No Content-Security-Policy, X-Frame-Options, or X-Content-Type-Options on responses",src/api/main.py (middleware stack),any residual XSS (e.g. S-005) executes with no CSP backstop; the UI can be framed (clickjacking),"grep of main.py shows the CORS + SlowAPI + metrics middleware but no security-header middleware. No CSP, X-Frame-Options/frame-ancestors, or X-Content-Type-Options is set.",Defense-in-depth gap: a single missed escape becomes fully exploitable XSS with no CSP to contain it; the loopback UI can be embedded/clickjacked. Higher value here because the app renders content derived from hostile web input.,grep -nE 'Content-Security-Policy|X-Frame-Options|X-Content-Type' src/api/main.py -> no matches.,"Add a response-header middleware: a strict CSP (default-src 'self'; the UI is dependency-free so 'self' + necessary inline-style nonce is feasible; block remote loads from ingested content), X-Content-Type-Options: nosniff, X-Frame-Options: DENY (or frame-ancestors 'none'), Referrer-Policy: no-referrer. Feasible without breaking the no-CDN UI.",M,Medium,applied
S-007,User,Cross-cutting,Permissive CORS (credentials allowed),CWE-942,OWASP A05:2021,Low,Theoretical,Verified,"allow_credentials=True is unnecessary for a no-cookie, no-auth local app",src/api/main.py:239-240,"n/a directly (origins are restricted to localhost), but credentials-allowed CORS is a latent misconfiguration if origins are ever broadened","CORS is configured with allow_origins limited to http(s)://(localhost|127.0.0.1):8000 AND allow_credentials=True. The app has no cookies/sessions/auth, so credentials are not needed.","Low today (origins are restricted, no credentials exist). The risk is latent: if ALLOWED_ORIGINS is ever widened, allow_credentials=True turns it into a credential-exposing config.",Read src/api/main.py:237-241.,Set allow_credentials=False (nothing relies on it); keep the localhost-only origin allowlist. Pair with the S-003 Origin check for state-changing requests.,S,Low,applied
S-008,Code,Ingestion,XML/feed parsing (XXE / entity expansion),"CWE-611, CWE-776",OWASP A05:2021,Low,Theoretical,Hypothesis,Feeds parsed by feedparser (entity-safe by default); confirm and harden any future XML,src/ingest/pipeline.py:265 (feedparser.parse),malicious feed with external entities / deeply nested entities,"Feeds are parsed via feedparser, which sanitises markup and does not resolve external entities by default; no raw lxml/etree.fromstring with resolve_entities=True was found in live code.","Low/residual: a regression to a raw XML parser, or feedparser misconfiguration, would reintroduce XXE/entity-expansion DoS.","grep feedparser/lxml/etree/defusedxml -> only feedparser.parse(response.content). Library defaults relied upon, not independently verified at runtime here.","Document and assert the entity-safe parsing posture; if any first-party XML parsing is added, use defusedxml (or lxml with resolve_entities=False, no_network=True). Bound feed size via S-002.",S,Low,open
S-009,Database,Storage,SQL/FTS injection (control verified present),CWE-89 (mitigated),OWASP A03:2021,Info,Theoretical,Verified,POSITIVE: full-text search is parameterized and FTS-syntax-safe,src/database/fts.py:155-279,search/filter input from the GUI,"search_ids runs `text('... MATCH :q ... LIMIT :lim')` with bound params; build_match emits every term as a quoted FTS5 string (escaping '""'->'""""') and rejects malformed queries with SearchQueryError (API -> 400). Structured filters use the SQLAlchemy ORM (parameterized). No string-concatenated SQL, no ORDER BY/identifier interpolation, no second-order query building from stored data was found.",The primary injection surface (search) is correctly defended. Recorded as a positive control to preserve.,"PoC: build_match('oil prices DROP') -> ('""oil"" AND ""prices"" AND ""DROP""'); build_match('a"") OR 1=1 --') raises SearchQueryError. Code read of fts.py + _query_articles.",Keep parameterized; add a regression test asserting an injection-style query returns 400 (and never raises a 500). Catch sqlalchemy OperationalError around search_ids and map to 400 for defense in depth.,S,Low,applied
S-010,Code; Database; User,Cross-cutting,Injection/deserialization sinks (control verified absent),"CWE-78, CWE-94, CWE-502 (mitigated)",OWASP A03:2021,Info,Theoretical,Verified,POSITIVE: no shell/eval/exec/pickle/unsafe-yaml sinks; robots fail-closed; output encoding in the main paths,n/a (cross-cutting),n/a,No subprocess/os.system/shell=True/eval/exec/pickle/marshal/yaml.load in live src (only re.compile and yaml.safe_load). The ethical fetcher fails closed on robots uncertainty. The GUI escapes ingested fields via esc() and the server article view via html.escape. Signing keys are written chmod 0600. No hardcoded secrets in live src.,"Several whole vulnerability classes (command/code injection, insecure deserialization) are absent by construction. Recorded for balance.",grep for the sink set (audit log #4); reads of view_article and the render paths; signing.py key chmod.,Preserve as invariants (the test_repo_invariants.py guard already covers secrets/quarantine/docs; consider extending to assert no eval/exec/pickle/yaml.load in src).,S,Low,applied
S-011,Database,Storage,Protection at rest (file permissions / encryption),"CWE-311, CWE-732",OWASP A02:2021 Cryptographic Failures,Low,Theoretical,Inferred,SQLite DB and cache files rely on umask + disk/VM encryption; only keys are explicitly 0600,src/paths.py (data_dir); src/database/session.py; src/custody/signing.py (keys 0600),a local user/process on a shared host reading the data dir,"Signing keys are chmod 0600, but the SQLite DB, briefing cache, custody log and annotation files are created with the process umask (commonly 0644). Encryption at rest is delegated to the host/Qubes/disk, as documented.","On a multi-user host without disk encryption, the corpus and provenance could be read by another local user. Designed for a single-user Qubes AppVM where this is mitigated by the VM boundary.",Read signing.py (key chmod 0600); no chmod on the DB/cache writers; SECURITY.md documents the local-first posture.,chmod the data dir to 0700 and the DB/custody/annotation files to 0600 on creation; keep documenting that full at-rest encryption is the host's (Qubes/LUKS) responsibility.,S,Low,applied
S-012,Code; User,Processing,Indirect (stored) prompt injection,CWE-77 (by analogy),OWASP LLM01: Prompt Injection,Low,Theoretical,Inferred,"Ingested text fed to the local model can carry instructions; impact bounded (no tools, output displayed escaped)",src/llm/ollama.py; src/api/llm.py,hostile article content -> summarise/translate prompt -> model follows embedded instructions -> poisoned summary,"Ingested (untrusted) article text is sent to a local Ollama model for summarise/translate/extract. The model has no tool-use, file, or DB write capability wired, and its output is stored and rendered through the same esc() encoding as other content.","A malicious page can skew/poison a generated summary (a corpus-integrity / trust concern for the intelligence product), but cannot trigger actions or code execution. Output is not auto-trusted by other logic.",Read the LLM call path; no tool/agent wiring; output persisted as ArticleAnalysis and displayed escaped.,"Delimit untrusted content explicitly in prompts (data vs instructions), label model output as derived/untrusted in the UI, and never let model output drive an action or a query without independent validation (keep the current no-tools posture).",M,Low,open
